crop,state,district,price
Tomato,Maharashtra,Pune,2200
Tomato,Maharashtra,Nashik,2100
Tomato,Karnataka,Bengaluru,2400
Tomato,Karnataka,Hubli,2300
Tomato,Gujarat,Ahmedabad,2350
Tomato,Gujarat,Surat,2250
Tomato,Rajasthan,Jaipur,2500
Tomato,Rajasthan,Ajmer,2450
Onion,Maharashtra,Pune,1800
Onion,Maharashtra,Nashik,1750
Onion,Karnataka,Bengaluru,2000
Onion,Karnataka,Hubli,1950
Onion,Gujarat,Ahmedabad,1900
Onion,Gujarat,Surat,1850
Onion,Rajasthan,Jaipur,2050
Onion,Rajasthan,Ajmer,1980
Cotton,Gujarat,Ahmedabad,6500
Cotton,Gujarat,Surat,6200
Cotton,Maharashtra,Nashik,6100
Cotton,Maharashtra,Pune,5900
Cotton,Karnataka,Bengaluru,6300
Cotton,Karnataka,Hubli,6150
Cotton,Rajasthan,Jaipur,6400
Cotton,Rajasthan,Ajmer,6250
Soybean,Maharashtra,Nashik,4200
Soybean,Maharashtra,Pune,4100
Soybean,Madhya Pradesh,Indore,4000
Soybean,Madhya Pradesh,Bhopal,3900
Soybean,Rajasthan,Jaipur,4300
Soybean,Rajasthan,Ajmer,4250
Soybean,Gujarat,Ahmedabad,4150
Soybean,Gujarat,Surat,4050
Wheat,Uttar Pradesh,Agra,2200
Wheat,Uttar Pradesh,Meerut,2150
Wheat,Punjab,Ludhiana,2300
Wheat,Punjab,Amritsar,2250
Wheat,Haryana,Faridabad,2180
Wheat,Haryana,Hisar,2130
Wheat,Rajasthan,Jaipur,2240
Wheat,Rajasthan,Ajmer,2190
Aloe Vera,Andaman and Nicobar Islands,Nicobar,1200
Anthurium,Andaman and Nicobar Islands,North and Middle Andaman,15900
Apple,Andaman and Nicobar Islands,South Andaman,8150
Arecanut,Andhra Pradesh,Anantapur,32900
Ashwagandha,Andhra Pradesh,Chittoor,23000
Banana,Andhra Pradesh,East Godavari,2450
Barley,Andhra Pradesh,Guntur,1550
Bengal Gram (Chana),Andhra Pradesh,Krishna,5350
Bitter Gourd (Karela),Andhra Pradesh,Kurnool,2200
Black Gram (Urad),Andhra Pradesh,Nellore,6450
Black Pepper,Andhra Pradesh,Prakasam,44500
Bottle Gourd (Lauki),Andhra Pradesh,Srikakulam,1100
Brinjal,Andhra Pradesh,Visakhapatnam,1700
Cabbage,Andhra Pradesh,Vizianagaram,1100
Capsicum,Andhra Pradesh,West Godavari,3300
Cardamom (Elaichi),Andhra Pradesh,YSR Kadapa,138000
Carnation,Arunachal Pradesh,Anjaw,10000
Carrot,Arunachal Pradesh,Changlang,1850
Cashewnut,Arunachal Pradesh,Dibang Valley,7700
Castor Seed,Arunachal Pradesh,East Kameng,6300
Cauliflower,Arunachal Pradesh,East Siang,1550
Chili (Red),Arunachal Pradesh,Kra Daadi,1800
Chrysanthemum,Arunachal Pradesh,Kurung Kumey,6200
Cinnamon,Arunachal Pradesh,Lohit,25500
Cloves,Arunachal Pradesh,Longding,63700
Cocoa,Arunachal Pradesh,Lower Dibang Valley,22200
Coconut,Arunachal Pradesh,Lower Siang,2600
Coffee,Arunachal Pradesh,Lower Subansiri,24450
Coriander,Arunachal Pradesh,Namsai,6400
Cotton,Arunachal Pradesh,Papum Pare,6550
Cowpea (Lobia),Arunachal Pradesh,Siang,5100
Cucumber,Arunachal Pradesh,Tawang,1450
Cumin (Jeera),Arunachal Pradesh,Tirap,30900
Custard Apple,Arunachal Pradesh,Upper Siang,3850
Drumstick (Moringa),Arunachal Pradesh,Upper Subansiri,2600
Elephant Foot Yam (Suran),Arunachal Pradesh,West Kameng,2200
Fennel (Saunf),Arunachal Pradesh,West Siang,12000
Fenugreek (Methi),Assam,Baksa,5800
Finger Millet (Ragi),Assam,Barpeta,4000
French Beans,Assam,Biswanath,4050
Garlic,Assam,Bongaigaon,9150
Ginger,Assam,Cachar,7650
Grapes,Assam,Charaideo,6750
Green Chili,Assam,Chirang,2950
Green Gram (Moong),Assam,Darrang,8450
Groundnut,Assam,Dhemaji,6300
Guava,Assam,Dhubri,2850
Jackfruit,Assam,Dibrugarh,1550
Jasmine,Assam,Dima Hasao,11750
Jute,Assam,Goalpara,4800
Lemon,Assam,Golaghat,5000
Lemongrass,Assam,Hailakandi,5200
Lentil (Masur),Assam,Hojai,6100
Lime,Assam,Jorhat,4800
Linseed,Assam,Kamrup,5150
Litchi,Assam,Kamrup Metropolitan,8450
Mace,Assam,Karbi Anglong,89100
Maize,Assam,Karimganj,2100
Mango,Assam,Kokrajhar,6050
Marigold,Assam,Lakhimpur,2400
Mentha (Pudina),Assam,Majuli,7750
Mesta,Assam,Morigaon,4800
Muskmelon,Assam,Nagaon,1150
Niger Seed,Assam,Nalbari,8100
Nutmeg,Assam,Sivasagar,47700
Oats,Assam,Sonitpur,1900
Okra (Bhindi),Assam,South Salmara Mankachar,2250
Onion,Assam,Tinsukia,1950
Orange,Assam,Udalguri,4600
Orchid,Assam,West Karbi Anglong,20800
Paddy (Dhan),Bihar,Araria,2250
Papaya,Bihar,Arwal,2150
Peach,Bihar,Aurangabad,6500
Pear,Bihar,Banka,5350
Pearl Millet (Bajra),Bihar,Begusarai,2800
Peas,Bihar,Bhagalpur,3600
Peas (Matar),Bihar,Bhojpur,4700
Pigeon Peas (Arhar/Tur),Bihar,Buxar,7700
Pineapple,Bihar,Darbhanga,3850
Plum,Bihar,East Champaran Motihari,6200
Pomegranate,Bihar,Gaya,9600
Potato,Bihar,Gopalganj,1600
Pumpkin,Bihar,Jamui,1050
Radish,Bihar,Jehanabad,1150
Rajma,Bihar,Kaimur Bhabua,8450
Rapeseed & Mustard,Bihar,Katihar,6150
Ridge Gourd (Torai),Bihar,Khagaria,2050
Rose,Bihar,Kishanganj,8550
Rubber,Bihar,Lakhisarai,16350
Safflower,Bihar,Madhepura,6000
Sesame (Til),Bihar,Madhubani,9800
Sorghum (Jowar),Bihar,Munger Monghyr,3400
Soybean,Bihar,Muzaffarpur,5050
Spinach,Bihar,Nalanda,1500
Strawberry,Bihar,Nawada,12800
Sugarcane,Bihar,Patna,330
Sunflower,Bihar,Purnia Purnea,7550
Sweet Potato,Bihar,Rohtas,1650
Tamarind,Bihar,Saharsa,3750
Tea,Bihar,Samastipur,18700
Tobacco,Bihar,Saran,10050
Tomato,Bihar,Sheikhpura,2400
Tulip,Bihar,Sheohar,28500
Tulsi (Basil),Bihar,Sitamarhi,4200
Turmeric,Bihar,Siwan,8000
Turnip,Bihar,Supaul,1200
Watermelon,Bihar,Vaishali,870
Wheat,Bihar,West Champaran,2500
Aloe Vera,Chandigarh,Chandigarh,1150
Anthurium,Chhattisgarh,Balod,13050
Apple,Chhattisgarh,Baloda Bazar,7350
Arecanut,Chhattisgarh,Balrampur,32550
Ashwagandha,Chhattisgarh,Bastar,21500
Banana,Chhattisgarh,Bemetara,2350
Barley,Chhattisgarh,Bijapur,1500
Bengal Gram (Chana),Chhattisgarh,Bilaspur,5150
Bitter Gourd (Karela),Chhattisgarh,Dantewada South Bastar,2300
Black Gram (Urad),Chhattisgarh,Dhamtari,6500
Black Pepper,Chhattisgarh,Durg,47500
Bottle Gourd (Lauki),Chhattisgarh,Gariyaband,1100
Brinjal,Chhattisgarh,Janjgir Champa,1600
Cabbage,Chhattisgarh,Jashpur,1150
Capsicum,Chhattisgarh,Kabirdham Kawardha,3150
Cardamom (Elaichi),Chhattisgarh,Kanker North Bastar,141000
Carnation,Chhattisgarh,Kondagaon,9400
Carrot,Chhattisgarh,Korba,1700
Cashewnut,Chhattisgarh,Korea Koriya,7050
Castor Seed,Chhattisgarh,Mahasamund,5850
